ce96c2718b567977fcedc548cf6d58cfee2e1a25,
Test=forkfork, Iter=0, ExecCount=5, Mean=1046430625.6, Standard Deviation=9537702.717355516
Test=forkforkfork, Iter=0, ExecCount=5, Mean=2419079411, Standard Deviation=135445255.46993327
Test=argptest, Iter=0, ExecCount=5, Mean=11200699.2, Standard Deviation=1695430.0229219724
Test=createdelete, Iter=0, ExecCount=5, Mean=1402639186.4, Standard Deviation=85973704.36721243
Test=linkunlink, Iter=0, ExecCount=5, Mean=569635742.2, Standard Deviation=18953097.283674248
Test=linktest, Iter=0, ExecCount=5, Mean=95369002.2, Standard Deviation=2098331.0589961014
Test=unlinkread, Iter=0, ExecCount=5, Mean=93553042.2, Standard Deviation=5457391.467360134
Test=concreate, Iter=0, ExecCount=5, Mean=4125241251.6, Standard Deviation=40015790.349547826
Test=subdir, Iter=0, ExecCount=5, Mean=249984572.6, Standard Deviation=6183980.095458451
Test=fourfiles, Iter=0, ExecCount=5, Mean=284482469.8, Standard Deviation=13392639.813531356
Test=sharedfd, Iter=0, ExecCount=5, Mean=890684261.2, Standard Deviation=11140146.22853855
Test=dirtest, Iter=0, ExecCount=5, Mean=51407074.8, Standard Deviation=728752.573240534
Test=exectest, Iter=0, ExecCount=5, Mean=75681687, Standard Deviation=1440311.8568414273
Test=bigargtest, Iter=0, ExecCount=5, Mean=59089547.6, Standard Deviation=1832307.782155962
Test=bigwrite, Iter=0, ExecCount=5, Mean=2246780814.6, Standard Deviation=38844852.195251934
Test=bsstest, Iter=0, ExecCount=5, Mean=11686242.8, Standard Deviation=240194.46712445313
Test=sbrkbasic, Iter=0, ExecCount=5, Mean=3154849740.4, Standard Deviation=36667733.4745352
Test=sbrkmuch, Iter=0, ExecCount=5, Mean=2335395259.6, Standard Deviation=7069888.19089003
Test=kernmem, Iter=0, ExecCount=5, Mean=283975229.4, Standard Deviation=38291636.20433324
Test=sbrkfail, Iter=0, ExecCount=5, Mean=2062456605.6, Standard Deviation=67581426.30356315
Test=sbrkarg, Iter=0, ExecCount=5, Mean=68385620, Standard Deviation=2748769.6885511344
Test=validatetest, Iter=0, ExecCount=5, Mean=131104283, Standard Deviation=3608350.448735128
Test=stacktest, Iter=0, ExecCount=5, Mean=14853546.4, Standard Deviation=1659406.4011764266
Test=opentest, Iter=0, ExecCount=5, Mean=18605302, Standard Deviation=808672.0105806185
Test=writetest, Iter=0, ExecCount=5, Mean=1019186548.8, Standard Deviation=56176558.304311715
Test=writebig, Iter=0, ExecCount=5, Mean=2030519766.2, Standard Deviation=96034392.68963204
Test=createtest, Iter=0, ExecCount=5, Mean=2007784768.4, Standard Deviation=29005732.638866354
Test=openiput, Iter=0, ExecCount=5, Mean=323320356, Standard Deviation=87666809.2505947
Test=exitiput, Iter=0, ExecCount=5, Mean=62048896.4, Standard Deviation=1974203.9637649653
Test=iput, Iter=0, ExecCount=5, Mean=54851922.8, Standard Deviation=2668718.073268456
Test=mem, Iter=0, ExecCount=5, Mean=753026412.8, Standard Deviation=15547105.182481535
Test=pipe1, Iter=0, ExecCount=5, Mean=25364573, Standard Deviation=1266198.2931203942
Test=killstatus, Iter=0, ExecCount=5, Mean=2512666495.6, Standard Deviation=109415363.33834097
Test=preempt, Iter=0, ExecCount=5, Mean=581624245.4, Standard Deviation=193178652.65093157
Test=exitwait, Iter=0, ExecCount=5, Mean=327888213.2, Standard Deviation=3436750.4846276953
Test=rmdot, Iter=0, ExecCount=5, Mean=62746709, Standard Deviation=4169869.2366189975
Test=fourteen, Iter=0, ExecCount=5, Mean=130267683.4, Standard Deviation=3131568.952721032
Test=bigfile, Iter=0, ExecCount=5, Mean=212561137.2, Standard Deviation=6165773.737501863
Test=dirfile, Iter=0, ExecCount=5, Mean=76464414.6, Standard Deviation=5706083.172940025
Test=iref, Iter=0, ExecCount=5, Mean=1923327421.4, Standard Deviation=27362475.12829856
Test=forktest, Iter=0, ExecCount=5, Mean=202082123, Standard Deviation=3622768.1649681227
Test=bigdir, Iter=0, ExecCount=5, Mean=2606558503.6, Standard Deviation=818211561.2166429
9d59b3e9ada794ebc4d9411a373ca704b7894057,
Test=manywrites, Iter=0, ExecCount=5, Mean=1257299783.2, Standard Deviation=292564598.6046017
Test=execout, Iter=0, ExecCount=5, Mean=1778854802.6, Standard Deviation=2254810756.6090765
Test=copyin, Iter=0, ExecCount=5, Mean=68147414, Standard Deviation=1985487.617451819
Test=copyout, Iter=0, ExecCount=5, Mean=12122650.4, Standard Deviation=1503202.432152037
Test=copyinstr1, Iter=0, ExecCount=5, Mean=8652524, Standard Deviation=691035.342532493
Test=copyinstr2, Iter=0, ExecCount=5, Mean=15081163, Standard Deviation=758465.1497115737
Test=copyinstr3, Iter=0, ExecCount=5, Mean=12394215.6, Standard Deviation=2802432.1647270606
Test=rwsbrk, Iter=0, ExecCount=5, Mean=38689716, Standard Deviation=3092001.486626502
Test=truncate1, Iter=0, ExecCount=5, Mean=56483970.6, Standard Deviation=2171782.394238382
Test=truncate2, Iter=0, ExecCount=5, Mean=50035181.4, Standard Deviation=4552965.847721164
Test=truncate3, Iter=0, ExecCount=5, Mean=513344978.2, Standard Deviation=9746733.558966728
Test=reparent2, Iter=0, ExecCount=5, Mean=1398974033.8, Standard Deviation=24434528.815130223
Test=pgbug, Iter=0, ExecCount=5, Mean=7605483.2, Standard Deviation=760178.4904278731
Test=sbrkbugs, Iter=0, ExecCount=5, Mean=25333123, Standard Deviation=2585673.5023419913
Test=badarg, Iter=0, ExecCount=5, Mean=497142626.8, Standard Deviation=12629063.532748803
Test=reparent, Iter=0, ExecCount=5, Mean=1283298209.8, Standard Deviation=6762717.021798316
Test=twochildren, Iter=0, ExecCount=5, Mean=2229539843.6, Standard Deviation=17589963.350338377
